Stress,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,blinkSpeed,blinkStrength,walking,roll,pitch,yaw,accX,accY,accZ
1.5829,0.010833333,0.043333333,0.035833333,0.035,3.991666667,2.7575,0.003333333,-14.05725,67.466825,276.4761333,3.562916667,12.92588542,-7.695
1.9203,0.025833333,0.049166667,0.0875,0.083333333,4.625,3.173333333,0.025,-5.160116667,22.68243333,276.713125,1.198854167,3.677864583,-14.4971875
0.5001,0.008333333,0.014166667,0.013333333,0.013333333,4.741666667,3.296666667,0,12.64980833,14.13613333,63.24611667,-3.840520833,1.478385417,-15.356875
1.3952,0.046666667,0.0575,0.0525,0.058333333,5.091666667,4.399166667,0.038333333,-7.9682,29.48458333,284.2562833,1.89828125,4.995260417,-13.64640625
2.2462,0.015833333,0.041666667,0.05,0.068333333,5.516666667,3.453333333,8.33E-04,-1.588308333,9.208991667,132.8267583,0.100364583,0.054635417,-15.62145833
1.2826,0.025811823,0.029975021,0.048293089,0.045795171,3.572023314,2.537052456,0.006661116,-8.829167361,13.18237302,268.3506828,2.045118651,1.024875104,-14.9660179
1.4425,0.01,0.0125,0.025833333,0.020833333,3.175,2.365,0,-17.65375833,53.03775833,333.3657417,4.616510417,10.27130208,-10.20171875
0.7531,0.0125,0.01,0.020833333,0.015,2.325,1.221666667,0,-24.42884167,56.6491,344.5837083,6.33078125,10.53270833,-9.726354167
2.2325,0.025020851,0.040033361,0.062552127,0.071726439,5.663052544,3.491242702,0,-0.611668057,7.138890742,132.5816514,-0.171757715,-0.478054629,-15.73629066
0.967,0.016666667,0.028333333,0.04,0.034166667,1.833333333,1.166666667,0,-10.64709167,26.63845,224.3885083,2.361979167,5.025989583,-14.83505208
1.9557,0.021648626,0.020815987,0.026644463,0.028309742,3.92173189,2.543713572,0,-5.713663614,51.21855121,316.9037968,1.269671107,10.75640092,-11.36537261
0.532,0.009166667,0.005833333,0.020833333,0.025,2.041666667,1.3925,0,-8.663391667,14.62396667,267.0094083,2.175885417,1.497916667,-15.72578125
0.9749,0.023333333,0.0225,0.0175,0.0225,3.091666667,2.2575,0,-11.39024167,19.78948333,322.895725,2.82453125,3.176875,-15.17411458
5.8089,0.039166667,0.068333333,0.078333333,0.080833333,4.825,3.1075,0.045,-11.78654167,44.45069167,187.9071083,3.035104167,8.548645833,-11.86697917
1.1638,0.006666667,0.024166667,0.048333333,0.029166667,2.166666667,1.366666667,0,-6.628533333,-4.7338,204.6202583,1.511510417,-3.605416667,-15.42385417
1.7981,0.036666667,0.098333333,0.1125,0.12,8.175,4.8,0.045,-5.786883333,28.51765,127.2627333,1.08046875,4.896770833,-13.43203125
1.8783,0.026666667,0.0825,0.131666667,0.131666667,8.958333333,5.6975,0.043333333,-8.982358333,17.2311,133.108225,2.135625,2.107447917,-14.57994792
0.8902,0.0125,0.016666667,0.026666667,0.025833333,1.708333333,1.1375,0,-8.4195,1.820816667,88.76214167,2.115416667,-1.810572917,-15.6221875
1.9101,0.029166667,0.051666667,0.085833333,0.065,4.408333333,2.995,0,-7.857575,17.29914167,65.15036667,2.070572917,2.47421875,-14.95557292
2.1589,0.018333333,0.020833333,0.040833333,0.040833333,4.366666667,3.175833333,0,-14.01895,63.552825,325.4937667,3.64484375,12.58713542,-8.607395833
1.7651,0.037531276,0.072560467,0.063386155,0.068390325,4.962468724,2.48707256,0.046705588,-4.417439533,30.16773144,208.5694746,0.884017932,5.28779191,-13.24749791
4.6777,0.0075,0.01,0.006666667,8.33E-04,1.7,1.225833333,0,-14.54301667,64.17614167,120.521575,3.849479167,12.87015625,-8.783072917
1.0248,0.02,0.025833333,0.035,0.031666667,1.733333333,1.329166667,0,-2.273508333,9.940716667,326.97515,0.299427083,0.463229167,-15.87864583
0.9622,0.005833333,0.015833333,0.023333333,0.0175,1.175,1.080833333,0,-6.603475,1.7525,97.11155833,1.565885417,-1.715364583,-15.69994792
4.6948,0.01,0.0475,0.071666667,0.0725,6.716666667,5.591666667,0,-3.556741667,10.32885,333.0146667,0.545885417,0.382447917,-15.03765625
1.0956,0.019182652,0.040033361,0.016680567,0.024186822,2.977481234,2.145954962,0,-5.81969975,28.58354462,37.49247706,1.253753128,5.373957465,-14.981495
4.0679,0.011666667,0.0225,0.019166667,0.029166667,6.008333333,4.691666667,0,18.687725,4.433525,101.02045,-5.521927083,-1.1096875,-14.95645833
1.0837,0.004995837,0.008326395,0.01582015,0.009991674,2.023313905,1.217318901,0,1.056919234,33.64221482,291.6030475,-0.583732306,6.782941299,-14.5355433
0.8676,0.015833333,0.014166667,0.03,0.0225,2.666666667,1.810833333,0,-3.842958333,16.289575,35.048875,0.675364583,2.049375,-15.82130208
1.4329,0.024166667,0.025833333,0.0225,0.016666667,1.258333333,0.788333333,8.33E-04,-5.062225,28.23116667,221.7228333,1.027395833,5.349427083,-14.99104167
0.9623,0.010824313,0.01582015,0.019983347,0.022481266,1.823480433,1.090757702,0,1.998667777,24.7632806,42.64338052,-0.862250208,4.524875104,-15.33888426
